actionAcceptedList0;actionAcceptedList1;actionAcceptedList2;actionAcceptedList3;[step];averageWaitingAction1;averageWaitingAction2;averageWaitingAction3;totalwaitingtime
123;13;123;13;485;6,449275362318841;13,757575757575758;12,88888888888889;11,031913336261162
123;12;23;123;486;5,9520547945205475;10,321428571428571;16,833333333333332;11,035605566427483
123;3;12;123;485;8,264900662251655;12,6;12,25;11,038300220750552
13;12;3;123;499;7,42;11,142857142857142;14,555555555555555;11,0394708994709
2;12;13;123;503;6,561643835616438;9,793103448275861;16,8;11,051582427964101
1;123;2;123;485;7,9480519480519485;8,05;17,166666666666668;11,054906204906205
123;13;1;23;492;6,408805031446541;10,263157894736842;16,5;11,057320975394461
123;13;123;123;486;6,25503355704698;11,363636363636363;15,555555555555555;11,0580751587463
123;12;23;1;487;5,52027027027027;10,454545454545455;17,2;11,058271908271907
123;13;23;1;485;6,563291139240507;10,947368421052632;15,666666666666666;11,059108742319935
12;12;13;23;485;7,4475524475524475;11,484848484848484;14,25;11,06080031080031
23;13;12;12;486;7,079710144927536;12,90625;13,2;11,061986714975845
1;123;123;123;486;5,6824324324324325;11,172413793103448;16,333333333333332;11,06272651962307
12;123;123;13;487;6,598684210526316;12,090909090909092;14,5;11,063197767145136
12;13;13;23;485;5,740259740259741;12,130434782608695;15,333333333333334;11,06800928540059
12;123;3;123;487;8,091503267973856;11,652173913043478;13,5;11,081225727005778
123;123;12;123;487;6,507042253521127;11,653846153846153;15,083333333333334;11,081407246900206
13;13;2;123;485;6,638888888888889;11,344827586206897;15,285714285714286;11,089810253603359
13;13;123;123;486;5,397350993377484;11,875;16;11,090783664459162
1;123;123;23;485;5,301369863013699;10,407407407407407;17,571428571428573;11,093401947283226
23;12;13;12;487;6,880794701986755;8,416666666666666;18;11,09915378955114
12;23;123;123;485;6,576158940397351;11,476190476190476;15,25;11,10078313886261
13;23;12;13;486;7,26530612244898;11,793103448275861;14,25;11,102803190241614
12;23;13;1;495;6,492957746478873;13,548387096774194;13,285714285714286;11,109019709655785
12;123;123;123;496;5,884892086330935;10,575757575757576;16,875;11,111883220696171
23;123;13;123;487;7,590604026845638;9,75;16;11,113534675615213
12;23;123;13;495;5,98051948051948;10,761904761904763;16,6;11,114141414141415
123;123;13;3;487;8,479452054794521;12,035714285714286;12,833333333333334;11,11616655794738
123;1;13;23;486;6,5;14,454545454545455;12,4;11,118181818181817
123;2;12;123;486;6,671140939597316;11,185185185185185;15,5;11,1187753749275
12;1;13;23;487;5,382550335570469;12,833333333333334;15,142857142857142;11,119580270586981
12;123;1;123;485;6,45;11,742857142857142;15,2;11,13095238095238
123;12;13;1;485;5,691275167785235;10,04;17,666666666666668;11,132647278150634
12;123;23;123;485;6;10,6;16,8;11,133333333333335
123;1;123;23;485;5,724137931034483;12,26086956521739;15,416666666666666;11,133891387639514
13;13;123;12;485;5,738255033557047;13;14,666666666666666;11,13497390007457
13;12;12;123;487;5,4423076923076925;10,578947368421053;17,4;11,140418353576246
12;1;123;123;486;5,367741935483871;9,727272727272727;18,333333333333332;11,142782665363308
3;123;123;13;490;8,422818791946309;14,291666666666666;10,714285714285714;11,142923724299564
123;1;13;12;485;6,095890410958904;10;17,333333333333332;11,143074581430746
13;123;123;123;487;5,748251748251748;11,6875;16;11,145250582750583
12;123;2;123;492;7,1688311688311686;11,045454545454545;15,25;11,154761904761905
1;123;23;12;487;6,398648648648648;13,821428571428571;13,25;11,156692406692406
13;12;2;13;485;7,371794871794871;8,1;18;11,157264957264957
1;123;2;13;486;6,52317880794702;14,961538461538462;12;11,161572423161829
